sep = ;
Module;Occurance;Activity;Week;Day;Module Tutor;Room;Target;Actual;Pro Forma
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;7;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;BRYAN RAJ A/L PETER JABARAJ;Dewan Kuliah 2 FSKTM (280);30;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;8;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 2:00 PM - 3:00 PM;BRYAN RAJ A/L PETER JABARAJ;Makmal Mikro 3 FSKTM (60);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;8;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;BRYAN RAJ A/L PETER JABARAJ;Dewan Kuliah 2 FSKTM (280);60;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;9;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 4:00 PM - 5:00 PM;EMRAN BIN MOHD TAMIL;Makmal Stroustrup FSKTM (30);30;0;LINK
WIA1003 - COMPUTER SYSTEM ARCHITECTURE;9;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;BRYAN RAJ A/L PETER JABARAJ;Dewan Kuliah 2 FSKTM (280);30;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 8:00 AM - 10:00 AM;ANG TAN FONG;Makmal CCNA FSKTM (40);40;1;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;ROSLI BIN SALLEH;Dewan Kuliah 1 FSKTM (280);40;1;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;10;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 4:00 PM - 6:00 PM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;10;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;MUHAMMAD FAIZ BIN MOHD ZAKI;Dewan Kuliah 2 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;11;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 4:00 PM - 6:00 PM;MUHAMMAD NUR FIRDAUS BIN SAHRAN;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;11;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;MUHAMMAD FAIZ BIN MOHD ZAKI;Dewan Kuliah 2 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;2;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 2:00 PM - 4:00 PM;ROSLI BIN SALLEH;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;2;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;ROSLI BIN SALLEH;Dewan Kuliah 1 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;3;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 1:00 PM - 3:00 PM;NOR BADRUL ANUAR BIN JUMA'AT;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;3;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;ROSLI BIN SALLEH;Dewan Kuliah 1 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;4;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 4:00 PM - 6:00 PM;ROSLI BIN SALLEH;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;4;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;ROSLI BIN SALLEH;Dewan Kuliah 1 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;5;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 9:00 AM - 11:00 AM;LING TECK CHAW;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;5;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;ROSLI BIN SALLEH;Dewan Kuliah 1 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;6;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Wednesday 10:00 AM - 12:00 PM;ANG TAN FONG;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;6;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;ROSLI BIN SALLEH;Dewan Kuliah 1 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;7;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 11:00 AM - 1:00 PM;MUHAMMAD FAIZ BIN MOHD ZAKI;Makmal CCNA FSKTM (40);40;1;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;7;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;MUHAMMAD FAIZ BIN MOHD ZAKI;Dewan Kuliah 2 FSKTM (280);40;1;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;8;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Thursday 2:00 PM - 4:00 PM;MUHAMMAD FAIZ BIN MOHD ZAKI;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;8;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;MUHAMMAD FAIZ BIN MOHD ZAKI;Dewan Kuliah 2 FSKTM (280);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;9;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Monday 9:00 AM - 11:00 AM;MISS LAIHA BINTI MAT KIAH;Makmal CCNA FSKTM (40);40;0;LINK
WIA1005 - NETWORK TECHNOLOGY FOUNDATION;9;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 9:00 AM - 11:00 AM;MUHAMMAD FAIZ BIN MOHD ZAKI;Dewan Kuliah 2 FSKTM (280);40;0;LINK
WIA1006 - MACHINE LEARNING;1;TUTORIAL;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 5:00 PM - 6:00 PM;AFIZAN BIN AZMAN;Makmal Mikro 3 FSKTM (60);50;0;LINK
WIA1006 - MACHINE LEARNING;1;LECTURE;7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20;Tuesday 12:00 PM - 2:00 PM;AFIZAN BIN AZMAN;Dewan Kuliah 1 FSKTM (280);50;0;LINK
